,rules,interest
0,"{X5=2,X10=5,X15=3} => {target=A}",0.03380851882426215
1,"{X7=5,X14=4} => {target=A}",0.16050343042809773
2,"{X3=2,X6=1,X13=4} => {target=A}",0.03317960479010456
3,{X5=4} => {target=A},0.6785991219215387
4,"{X3=1,X7=1,X15=5} => {target=A}",0.03333684763123361
5,"{X5=3,X6=3,X9=2} => {target=A}",0.03464683305498462
6,"{X8=4,X11=1,X15=5} => {target=A}",0.03338925978826335
7,"{X1=4,X12=2,X15=3} => {target=A}",0.03312718838638159
8,"{X2=3,X13=3} => {target=A}",0.1578641196087816
9,"{X3=1,X5=5,X8=2} => {target=A}",0.034856369145732924
10,"{X9=2,X14=3,X15=5} => {target=A}",0.03317960479010456
11,"{X9=4,X10=3,X14=3} => {target=A}",0.03401812286210216
12,"{X1=1,X5=3,X10=4} => {target=A}",0.03606087201797354
13,"{X2=2,X6=4,X12=1} => {target=A}",0.03538013505547212
14,"{X4=4,X9=2,X13=5} => {target=A}",0.034542058639570626
15,"{X8=4,X13=2,X15=2} => {target=A}",0.03281266766890432
16,"{X11=5,X12=1,X14=4} => {target=A}",0.03438488905389982
17,"{X2=4,X4=4,X5=3} => {target=A}",0.033756115160618876
18,"{X1=2,X5=1,X11=1} => {target=A}",0.03428010402175274
19,"{X10=1,X12=1,X13=3} => {target=A}",0.034489669839353664
20,"{X5=1,X8=2} => {target=A}",0.16060296867075696
21,"{X5=2,X6=5,X8=5} => {target=A}",0.03391332296652877
22,"{X9=2,X12=4,X14=5} => {target=A}",0.03433249706866293
23,"{X5=1,X9=1,X11=2} => {target=A}",0.03323202013215422
24,"{X1=1,X3=3,X12=3} => {target=A}",0.03464683305498462
25,"{X1=4,X11=1,X12=4} => {target=A}",0.035118265371518874
26,"{X10=4,X11=1} => {target=A}",0.15881063055882622
27,"{X3=2,X4=1,X10=4} => {target=A}",0.035484875497340265
28,"{X1=5,X3=4,X9=4} => {target=A}",0.034751603223705387
29,"{X5=4,X11=1,X13=1} => {target=A}",0.03459444637811428
30,"{X4=4,X6=4,X13=3} => {target=A}",0.034542058639570626
31,"{X6=1,X10=4,X12=1} => {target=A}",0.03480398671555581
32,"{X5=3,X6=2,X15=5} => {target=A}",0.033651304648312404
33,"{X6=1,X8=2,X14=1} => {target=A}",0.03338925978826335
34,"{X3=1,X5=1,X8=3} => {target=A}",0.03585143360116957
35,"{X9=4,X12=3,X13=3} => {target=A}",0.034122918510982314
36,"{X11=5,X12=2,X15=2} => {target=A}",0.034122918510982314
37,"{X2=3,X6=4,X14=2} => {target=A}",0.035537244125764374
38,"{X9=3,X13=3} => {target=A}",0.1620955327074577
39,"{X4=1,X6=4,X10=4} => {target=A}",0.034908750514236725
40,"{X1=4,X5=5,X15=4} => {target=A}",0.03428010402175274
41,"{X8=4,X12=5} => {target=A}",0.15646856278557397
42,"{X3=2,X11=2,X12=2} => {target=A}",0.035484875497340265
43,"{X1=2,X3=1,X7=5} => {target=A}",0.03438488905389982
44,"{X2=1,X7=4,X9=2} => {target=A}",0.032445678525711986
45,"{X4=1,X9=4,X15=5} => {target=A}",0.03370371043530229
46,"{X1=3,X10=3} => {target=A}",0.15641870607619643
47,"{X1=3,X8=3,X11=5} => {target=A}",0.034489669839353664
48,"{X1=3,X5=3,X11=5} => {target=A}",0.033860921426232114
49,"{X8=3,X14=1,X15=2} => {target=A}",0.034542058639570626
50,"{X1=3,X6=5,X9=4} => {target=A}",0.035118265371518874
51,"{X4=1,X5=4,X9=4} => {target=A}",0.03380851882426215
52,"{X7=2,X12=5} => {target=A}",0.1581132385963065
53,"{X1=2,X6=4,X15=3} => {target=A}",0.035537244125764374
54,"{X3=1,X6=1,X8=2} => {target=A}",0.03579907134278531
55,"{X5=4,X6=2,X8=4} => {target=A}",0.03464683305498462
56,"{X2=1,X3=3,X10=3} => {target=A}",0.03422770991316924
57,"{X6=1,X15=4} => {target=A}",0.156817530024364
58,"{X3=1,X8=3,X13=2} => {target=A}",0.03496113082106723
59,"{X7=2,X10=3} => {target=A}",0.1584121463461172
60,"{X1=1,X2=5,X7=1} => {target=A}",0.0350658882497083
61,"{X1=2,X6=4,X13=3} => {target=A}",0.03480398671555581
62,"{X10=3,X11=1,X14=1} => {target=A}",0.033860921426232114
63,"{X8=4,X10=3,X13=5} => {target=A}",0.03391332296652877
64,"{X3=1,X5=3,X6=2} => {target=A}",0.03338925978826335
65,"{X2=1,X4=2,X9=4} => {target=A}",0.034856369145732924
66,"{X2=3,X6=2,X14=3} => {target=A}",0.03401812286210216
67,"{X8=1,X11=3,X13=3} => {target=A}",0.03438488905389982
68,"{X4=1,X12=5} => {target=A}",0.16000567551440306
69,"{X5=5,X8=2,X11=1} => {target=A}",0.03496113082106723
70,"{X1=5,X5=3,X11=4} => {target=A}",0.033651304648312404
71,"{X1=1,X7=2,X15=4} => {target=A}",0.033441670883619774
72,"{X2=1,X5=5,X11=5} => {target=A}",0.03249810873118796
73,"{X3=3,X4=4,X11=5} => {target=A}",0.034122918510982314
74,"{X3=1,X5=3} => {target=A}",0.15816305920879153
75,"{X6=3,X8=3,X15=5} => {target=A}",0.03433249706866293
76,"{X6=3,X7=5,X13=4} => {target=A}",0.034489669839353664
77,"{X3=1,X4=1,X15=5} => {target=A}",0.034489669839353664
78,"{X1=1,X4=1,X9=5} => {target=A}",0.03422770991316924
79,"{X2=4,X11=3,X14=3} => {target=A}",0.03249810873118796
80,"{X11=5,X14=4,X15=4} => {target=A}",0.03464683305498462
81,"{X8=3,X9=3,X15=5} => {target=A}",0.033651304648312404
82,"{X1=1,X4=3,X13=1} => {target=A}",0.03307477092098531
83,"{X7=4,X9=3,X12=3} => {target=A}",0.033756115160618876
84,"{X11=3,X12=3,X15=5} => {target=A}",0.03249810873118796
85,"{X2=3,X12=5,X15=5} => {target=A}",0.03302235239391573
86,"{X6=5,X8=2} => {target=A}",0.16179709634059572
