,rules,interest
0,"{X1=2,X12=3,X15=3} => {target=A}",0.034542058639570626
1,"{X5=5,X6=3,X13=4} => {target=A}",0.034751603223705387
2,"{X1=5,X7=5,X14=5} => {target=A}",0.034122918510982314
3,"{X1=1,X8=1,X13=4} => {target=A}",0.034122918510982314
4,"{X3=2,X4=1} => {target=A}",0.16129961746196111
5,"{X1=4,X3=5,X10=3} => {target=A}",0.03328443441253057
6,"{X1=1,X10=5,X11=1} => {target=A}",0.03380851882426214
7,"{X7=4,X13=1,X14=5} => {target=A}",0.033860921426232114
8,"{X7=5,X12=3,X14=5} => {target=A}",0.033756115160618876
9,"{X5=4,X6=2,X14=3} => {target=A}",0.03312718838638159
10,"{X5=4,X6=1,X15=5} => {target=A}",0.03291751215475664
11,"{X1=1,X12=1,X15=4} => {target=A}",0.03323202013215422
12,"{X2=4,X3=3,X14=1} => {target=A}",0.03480398671555581
13,"{X1=1,X11=5,X15=4} => {target=A}",0.03417531474291243
14,"{X2=1,X5=3,X6=3} => {target=A}",0.034122918510982314
15,"{X2=1,X9=4,X11=5} => {target=A}",0.033756115160618876
16,"{X8=3,X9=3,X15=5} => {target=A}",0.0336513046483124
17,"{X10=2,X13=1,X15=3} => {target=A}",0.034227709913169244
18,"{X8=4,X13=1,X15=4} => {target=A}",0.03511826537151886
19,"{X2=1,X4=5,X10=2} => {target=A}",0.034751603223705387
20,"{X3=1,X5=1,X15=5} => {target=A}",0.03417531474291243
21,"{X6=1,X9=4,X11=1} => {target=A}",0.035432505807242845
22,"{X8=4,X10=4,X11=5} => {target=A}",0.03469921867018166
23,"{X3=5,X7=4} => {target=A}",0.15716644524116194
24,"{X5=4,X13=5,X14=5} => {target=A}",0.032550537874990626
25,"{X11=1,X12=4} => {target=A}",0.16085179569812216
26,"{X1=1,X13=3,X15=2} => {target=A}",0.03370371043530229
27,"{X1=5,X5=3,X11=4} => {target=A}",0.0336513046483124
28,"{X1=1,X7=2,X8=1} => {target=A}",0.03391332296652877
29,"{X1=1,X2=1,X6=1} => {target=A}",0.03333684763123361
30,"{X6=4,X10=4,X11=2} => {target=A}",0.034751603223705387
31,"{X8=5,X10=4,X11=2} => {target=A}",0.03443727997746338
32,"{X2=2,X7=1,X12=5} => {target=A}",0.034384889053899824
33,"{X4=1,X11=3,X13=5} => {target=A}",0.03333684763123361
34,"{X7=4,X13=1,X14=1} => {target=A}",0.033441670883619774
35,"{X1=1,X9=4,X11=5} => {target=A}",0.0336513046483124
36,"{X14=1,X15=5} => {target=A}",0.1513277447498024
37,"{X7=2,X10=3} => {target=A}",0.1584121463461172
38,"{X1=1,X2=5} => {target=A}",0.1584619605885624
39,"{X6=5,X9=3,X13=4} => {target=A}",0.03511826537151886
40,"{X5=1,X8=2,X11=4} => {target=A}",0.035013510066224426
41,"{X1=1,X9=5,X13=2} => {target=A}",0.034332497068662926
42,"{X1=1,X10=2,X13=1} => {target=A}",0.034908750514236725
43,"{X4=4,X9=2,X13=5} => {target=A}",0.034542058639570626
44,"{X1=1,X3=2,X13=3} => {target=A}",0.033860921426232114
45,"{X2=1,X7=2,X15=5} => {target=A}",0.03260296595711998
46,"{X5=5,X12=5,X13=4} => {target=A}",0.032865090442667125
47,"{X5=4,X6=3,X13=3} => {target=A}",0.03391332296652877
48,"{X1=1,X2=2,X12=5} => {target=A}",0.0336513046483124
49,"{X2=5,X5=1,X10=2} => {target=A}",0.035694343640996856
50,"{X6=4,X13=3,X15=5} => {target=A}",0.033860921426232114
51,"{X5=5,X7=2,X8=2} => {target=A}",0.03428010402175274
52,"{X4=3,X5=1,X8=1} => {target=A}",0.034070521217378885
53,"{X5=5,X7=3,X15=5} => {target=A}",0.03260296595711998
54,"{X5=1,X9=4,X13=5} => {target=A}",0.03380851882426214
55,"{X10=2,X13=1,X15=4} => {target=A}",0.035013510066224426
56,"{X2=3,X14=2} => {target=A}",0.1618965793762429
57,"{X3=2,X4=1,X5=4} => {target=A}",0.034751603223705387
58,"{X4=2,X5=5,X15=4} => {target=A}",0.03417531474291243
59,"{X4=4,X9=4,X15=3} => {target=A}",0.034384889053899824
60,"{X6=3,X7=1,X15=5} => {target=A}",0.03469921867018166
61,"{X7=5,X13=3,X14=3} => {target=A}",0.03396572344515211
62,"{X2=2,X5=5,X8=2} => {target=A}",0.033441670883619774
63,"{X2=1,X6=4,X15=4} => {target=A}",0.03312718838638159
64,"{X8=4,X12=5,X15=5} => {target=A}",0.03228838153924423
65,"{X11=3,X13=4,X14=4} => {target=A}",0.03359889779964922
66,"{X1=2,X4=5,X9=4} => {target=A}",0.03417531474291243
67,"{X7=2,X15=5} => {target=A}",0.15362503592045568
68,"{X1=2,X9=5,X13=5} => {target=A}",0.03417531474291243
69,"{X6=4,X13=5,X15=5} => {target=A}",0.03448966983935367
70,"{X10=5,X11=1,X13=4} => {target=A}",0.03448966983935367
71,"{X8=3,X9=2} => {target=A}",0.16060296867075696
72,"{X7=5,X11=5,X15=4} => {target=A}",0.034122918510982314
73,"{X4=1,X6=4,X10=4} => {target=A}",0.034908750514236725
74,"{X2=5,X9=2,X14=5} => {target=A}",0.03296993280517284
75,"{X5=5,X9=4,X15=4} => {target=A}",0.03459444637811428
76,"{X8=3,X12=3} => {target=A}",0.15955760531901003
77,"{X3=2,X8=2,X9=2} => {target=A}",0.03391332296652877
78,"{X3=3,X10=5,X14=1} => {target=A}",0.03417531474291243
79,"{X1=4,X6=1,X15=4} => {target=A}",0.03417531474291243
80,"{X6=4,X13=4,X15=5} => {target=A}",0.032131074997716697
81,"{X1=4,X2=4,X13=3} => {target=A}",0.03459444637811428
82,"{X7=4,X9=3,X12=3} => {target=A}",0.033756115160618876
83,"{X2=4,X7=1} => {target=A}",0.1592588440801158
84,"{X8=2,X12=3,X13=5} => {target=A}",0.035170641431656144
85,"{X1=2,X14=1,X15=3} => {target=A}",0.03302235239391573
86,"{X1=1,X8=4,X15=5} => {target=A}",0.030295126000479056
87,"{X4=2,X8=3} => {target=A}",0.1584121463461172
88,"{X1=2,X11=5,X14=4} => {target=A}",0.03359889779964922
89,"{X2=3,X4=2,X5=5} => {target=A}",0.033756115160618876
90,"{X2=1,X13=5,X15=5} => {target=A}",0.03291751215475664
91,"{X1=3,X6=5,X9=4} => {target=A}",0.03511826537151886
92,"{X3=1,X15=5} => {target=A}",0.156817530024364
93,"{X8=4,X11=1,X15=5} => {target=A}",0.03338925978826335
94,"{X9=3,X10=2,X14=2} => {target=A}",0.035013510066224426
95,"{X2=1,X11=5} => {target=A}",0.15517194329793324
96,"{X1=2,X14=1,X15=5} => {target=A}",0.03464683305498462
97,{X5=4} => {target=A},0.6785991219215387
98,"{X8=4,X13=2,X15=2} => {target=A}",0.032812667668904325
99,"{X1=2,X7=1,X8=3} => {target=A}",0.03459444637811428
100,"{X7=2,X10=3,X13=3} => {target=A}",0.0350658882497083
101,"{X1=1,X9=2,X15=4} => {target=A}",0.03443727997746338
102,"{X8=3,X9=2,X10=1} => {target=A}",0.03417531474291243
103,"{X7=3,X8=4,X13=5} => {target=A}",0.034227709913169244
104,"{X1=1,X7=5,X9=2} => {target=A}",0.034332497068662926
105,"{X2=1,X3=4,X14=1} => {target=A}",0.03228838153924423
106,"{X4=4,X5=2,X12=5} => {target=A}",0.03417531474291243
107,"{X5=5,X10=2,X15=4} => {target=A}",0.03401812286210216
108,"{X2=4,X4=2,X13=4} => {target=A}",0.03459444637811428
109,"{X1=2,X11=1} => {target=A}",0.1569172253946728
110,"{X1=4,X4=4,X12=4} => {target=A}",0.03511826537151886
111,"{X5=4,X8=4,X9=2} => {target=A}",0.03532776324202808
112,"{X3=1,X5=3,X6=2} => {target=A}",0.03338925978826335
113,"{X1=1,X11=5} => {target=A}",0.15985632833766514
114,"{X8=5,X9=4,X15=5} => {target=A}",0.033546489889312706
115,"{X8=3,X15=5} => {target=A}",0.1555709795807624
116,"{X8=2,X12=3} => {target=A}",0.15891024099527037
117,"{X5=4,X13=5,X15=5} => {target=A}",0.03291751215475664
118,"{X10=4,X14=5,X15=4} => {target=A}",0.032655392977576025
119,"{X6=4,X7=2,X13=5} => {target=A}",0.033441670883619774
120,"{X2=3,X6=4,X13=3} => {target=A}",0.03527539036691075
121,"{X7=5,X13=2,X14=4} => {target=A}",0.034751603223705387
122,"{X5=3,X8=4,X11=5} => {target=A}",0.034751603223705387
123,"{X2=4,X7=2} => {target=A}",0.1584619605885624
124,"{X10=2,X14=2,X15=1} => {target=A}",0.03538013505547212
125,"{X1=1,X12=2,X14=5} => {target=A}",0.03338925978826335
126,"{X4=4,X11=4,X14=1} => {target=A}",0.03428010402175274
127,"{X6=2,X11=3,X12=3} => {target=A}",0.03496113082106723
128,"{X2=1,X14=1} => {target=A}",0.14917824540449093
129,"{X5=5,X8=3} => {target=A}",0.15980654382207257
130,"{X7=1,X11=5,X15=2} => {target=A}",0.033860921426232114
131,"{X2=1,X4=3,X7=3} => {target=A}",0.033494080917302896
132,"{X1=1,X7=4,X10=4} => {target=A}",0.03391332296652877
133,"{X1=5,X10=5,X14=1} => {target=A}",0.034542058639570626
134,"{X1=1,X11=4,X13=4} => {target=A}",0.03464683305498462
135,"{X3=1,X8=3,X15=4} => {target=A}",0.03574670802272774
136,"{X1=4,X7=2,X13=1} => {target=A}",0.035694343640996856
137,"{X9=3,X10=2,X15=4} => {target=A}",0.034542058639570626
138,"{X7=1,X11=3,X12=2} => {target=A}",0.03380851882426214
139,"{X1=1,X4=3,X11=4} => {target=A}",0.033546489889312706
140,"{X7=2,X12=3,X13=5} => {target=A}",0.03276024383346819
141,"{X2=3,X9=5,X11=1} => {target=A}",0.03496113082106723
142,"{X5=5,X8=2,X12=1} => {target=A}",0.03401812286210216
143,"{X10=5,X13=2,X14=1} => {target=A}",0.03522301643012009
144,"{X3=3,X10=1,X12=2} => {target=A}",0.03480398671555581
145,"{X1=2,X6=1,X11=5} => {target=A}",0.0336513046483124
146,"{X1=3,X2=3,X8=4} => {target=A}",0.03595615493291817
147,"{X1=1,X2=1,X11=5} => {target=A}",0.03249810873118796
148,"{X3=2,X4=1,X14=1} => {target=A}",0.033756115160618876
149,"{X4=1,X9=4,X15=5} => {target=A}",0.03370371043530229
150,"{X4=4,X14=2} => {target=A}",0.15960739514296915
151,"{X1=1,X5=3,X11=5} => {target=A}",0.035170641431656144
152,"{X2=2,X6=3,X15=4} => {target=A}",0.0336513046483124
153,"{X9=2,X14=3,X15=3} => {target=A}",0.035013510066224426
154,"{X8=3,X12=5,X15=4} => {target=A}",0.034908750514236725
155,"{X1=4,X2=1,X15=5} => {target=A}",0.03333684763123361
156,"{X2=1,X10=1,X11=5} => {target=A}",0.033860921426232114
157,"{X10=4,X12=2,X15=2} => {target=A}",0.034542058639570626
158,"{X5=1,X8=2} => {target=A}",0.16060296867075696
159,"{X5=1,X10=1,X15=5} => {target=A}",0.03328443441253057
160,"{X1=5,X14=1} => {target=A}",0.15577047224201762
161,"{X2=3,X12=3} => {target=A}",0.1579139455296332
162,"{X2=1,X10=5,X15=5} => {target=A}",0.032183511573232515
163,"{X2=2,X5=3} => {target=A}",0.15761497407942401
164,"{X5=4,X8=1,X10=2} => {target=A}",0.035170641431656144
165,"{X5=3,X11=5} => {target=A}",0.15995589418383038
166,"{X3=5,X8=2,X11=5} => {target=A}",0.03464683305498462
167,"{X11=5,X15=4} => {target=A}",0.15671783040736195
168,"{X1=2,X4=1,X11=1} => {target=A}",0.034122918510982314
169,"{X8=3,X12=1,X14=4} => {target=A}",0.03511826537151886
170,"{X2=3,X4=2,X5=1} => {target=A}",0.032131074997716697
171,"{X9=4,X11=1,X12=1} => {target=A}",0.03380851882426214
172,"{X7=3,X9=4,X10=1} => {target=A}",0.033756115160618876
173,"{X3=4,X6=5,X15=3} => {target=A}",0.03480398671555581
174,"{X10=4,X11=2,X14=5} => {target=A}",0.03396572344515211
175,"{X5=4,X7=3,X13=5} => {target=A}",0.03296993280517284
176,"{X2=1,X10=3,X14=1} => {target=A}",0.03118703509229631
177,"{X2=1,X3=1,X15=5} => {target=A}",0.03338925978826335
178,"{X3=1,X5=1,X8=3} => {target=A}",0.03585143360116957
179,"{X1=1,X3=1,X8=2} => {target=A}",0.0350658882497083
180,"{X1=2,X7=2} => {target=A}",0.1578142926262567
181,"{X6=5,X13=4,X15=4} => {target=A}",0.03428010402175274
182,"{X2=5,X3=2,X4=5} => {target=A}",0.03396572344515211
183,"{X1=3,X11=5,X12=1} => {target=A}",0.034384889053899824
184,"{X10=1,X12=1,X14=3} => {target=A}",0.034227709913169244
185,"{X7=3,X8=3,X14=2} => {target=A}",0.03417531474291243
186,"{X4=3,X5=4,X10=5} => {target=A}",0.03380851882426214
187,"{X5=4,X13=3,X14=1} => {target=A}",0.03428010402175274
188,"{X2=1,X11=5,X14=1} => {target=A}",0.03317960479010456
189,"{X4=2,X5=4} => {target=A}",0.15577047224201762
190,"{X3=1,X14=4} => {target=A}",0.16060296867075696
191,"{X4=5,X13=3,X15=4} => {target=A}",0.0350658882497083
192,"{X3=1,X7=5} => {target=A}",0.15955760531901003
193,"{X3=1,X10=3,X12=1} => {target=A}",0.03359889779964922
194,"{X6=2,X9=4,X15=5} => {target=A}",0.03370371043530229
195,"{X10=1,X11=4,X15=4} => {target=A}",0.03448966983935367
196,"{X6=4,X10=2,X12=2} => {target=A}",0.03564197819759267
197,"{X10=1,X11=5} => {target=A}",0.15970697160586747
198,"{X5=3,X10=5,X15=4} => {target=A}",0.033546489889312706
199,"{X1=1,X4=1,X11=5} => {target=A}",0.034227709913169244
