,0
"{X9=3,X13=2} => {target=A}",0.03527539036691075
"{X1=4,X5=1} => {target=A}",0.03323202013215422
"{X1=1,X8=5} => {target=A}",0.15362503592045568
"{X3=5,X10=1} => {target=A}",0.03417531474291243
"{X7=5,X11=3} => {target=A}",0.03396572344515211
"{X4=2,X8=5} => {target=A}",0.15592008059038923
"{X2=5,X4=2} => {target=A}",0.032550537874990626
"{X9=3,X11=3} => {target=A}",0.03328443441253057
"{X2=2,X15=5} => {target=A}",0.034122918510982314
"{X1=5,X10=1} => {target=A}",0.036636740076136556
"{X4=2,X14=1} => {target=A}",0.03333684763123361
"{X10=3,X13=4} => {target=A}",0.03574670802272774
"{X11=3,X13=1} => {target=A}",0.03396572344515211
"{X4=1,X10=5} => {target=A}",0.03312718838638159
"{X9=2,X10=3} => {target=A}",0.15826269724874176
"{X3=5,X12=4} => {target=A}",0.03428010402175274
"{X10=1,X13=5} => {target=A}",0.03312718838638159
"{X7=3,X8=4} => {target=A}",0.03291751215475664
"{X4=1,X14=2} => {target=A}",0.034070521217378885
"{X9=1,X13=3} => {target=A}",0.15761497407942401
"{X4=1,X5=1} => {target=A}",0.03296993280517284
"{X6=1,X8=5} => {target=A}",0.03192131807892035
"{X7=4,X13=2} => {target=A}",0.034070521217378885
"{X3=5,X4=3} => {target=A}",0.1592588440801158
{X9=4} => {target=A},0.15970697160586747
"{X8=1,X12=3} => {target=A}",0.035170641431656144
"{X3=1,X13=5} => {target=A}",0.16299061248660912
"{X1=5,X11=5} => {target=A}",0.032550537874990626
"{X1=5,X9=4} => {target=A}",0.033756115160618876
"{X3=5,X9=1} => {target=A}",0.03239324725856271
"{X13=5,X14=3} => {target=A}",0.032865090442667125
"{X1=5,X9=2} => {target=A}",0.034856369145732924
"{X11=3,X15=2} => {target=A}",0.03302235239391573
"{X9=5,X10=5} => {target=A}",0.03443727997746338
"{X1=2,X13=2} => {target=A}",0.03359889779964922
"{X5=1,X11=3} => {target=A}",0.034751603223705387
"{X2=3,X12=2} => {target=A}",0.0336513046483124
"{X2=4,X8=2} => {target=A}",0.03522301643012009
"{X1=4,X8=5} => {target=A}",0.15477283906801242
"{X7=4,X10=2} => {target=A}",0.032550537874990626
"{X4=4,X11=3} => {target=A}",0.1581630592087915
"{X8=1,X14=2} => {target=A}",0.03192131807892035
"{X3=5,X15=2} => {target=A}",0.03611322896799126
"{X13=4,X14=3} => {target=A}",0.16010523499052845
"{X6=1,X13=1} => {target=A}",0.033860921426232114
"{X11=4,X13=3} => {target=A}",0.03312718838638159
"{X11=5,X13=2} => {target=A}",0.034751603223705387
"{X4=2,X12=5} => {target=A}",0.1578142926262567
